center_code,transfer_type
DC5020,"drop_off,courier,rider"
DC6317,"drop_off,courier,rider"
GELAB11601,"drop_off,courier,rider"
DC10431,"drop_off,courier,rider"
DC3585,"drop_off,courier,rider"
DC6251,"drop_off,courier,rider"
CC12645,"drop_off,courier,rider"
DC1717,"drop_off,courier,rider"
CC7910,"drop_off,courier,rider"
CC3532,"drop_off,courier,rider"
DC11490,"drop_off,courier,rider"
F851,"drop_off,courier,rider"
DC6424,"drop_off,courier,rider"
DC9974,"drop_off,courier,rider"
DC10437,"drop_off,courier,rider"
DC6146,"drop_off,courier,rider"
DC10237,"drop_off,courier,rider"
CC12171,"drop_off,courier,rider"
DC13530,"drop_off,courier,rider"
DC5435,"drop_off,courier,rider"
F1093,"drop_off,courier,rider"
DC10406,"drop_off,courier,rider"
DC7919,"drop_off,courier,rider"
DC6782,"drop_off,courier,rider"
DC10023,"drop_off,courier,rider"
CC2474,"drop_off,courier,rider"
CC12834,"drop_off,courier,rider"
DC6965,"drop_off,courier,rider"
DC11896,"drop_off,courier,rider"
DC7565,"drop_off,courier,rider"
DC10457,"drop_off,courier,rider"
CC4535,"drop_off,courier,rider"
DC3985,"drop_off,courier,rider"
DC10426,"drop_off,courier,rider"
DC6130,"drop_off,courier,rider"
DC9881,"drop_off,courier,rider"
DC7985,"drop_off,courier,rider"
CC11936,"drop_off,courier,rider"
CC3510,"drop_off,courier,rider"
F984,"drop_off,courier,rider"
DC3303,"drop_off,courier,rider"
DC10022,"drop_off,courier,rider"
DC10440,"drop_off,courier,rider"
DC11542,"drop_off,courier,rider"
DC8512,"drop_off,courier,rider"
DC3054,"drop_off,courier,rider"
DC4356,"drop_off,courier,rider"
DC11051,"drop_off,courier,rider"
DC13159,"drop_off,courier,rider"
CC13639,"drop_off,courier,rider"
CC6613,"drop_off,courier,rider"
GELAB4128,"drop_off,courier,rider"
DC6784,"drop_off,courier,rider"
DC9697,"drop_off,courier,rider"
DC10159,"drop_off,courier,rider"
DC5711,"drop_off,courier,rider"
F741,"drop_off,courier,rider"
DC6335,"drop_off,courier,rider"
DC10136,"drop_off,courier,rider"
GELAB3458,"drop_off,courier,rider"
